R318.6 医药;卫生;基础;医学;医用;一般;科学;生物;医学;工程;仪器;设备;
TM925.54 电工;技术;电气化;电能;应用;家用;电器;其他;设备;厨房;用电器;电炊具;微波炉;
TS938.4 轻工业;手工业;工艺;美术;制品;工业;民间;木偶;制作;
G893 科学;教育;体育;文体;活动;康乐球;台球;弹子;
TS943.3+3 轻工业;手工业;服装;制鞋;工业;结构;部件;配件;鞋帮;靴腿;
TQ93 蛋白质;朊;化学;加工;工业;
TU998.13+2 市政;工程;公用;设备;消防;设备;灭火;装置;
TS951.8+1 文教;用品;制造;工业;绘图;工具;绘图板;绘图桌;
TS958.1+3 玩具;制造;工业;餐具;炊具;浴具;
G832.7 体育;体操;运动;竞技;平衡木;
S972.3 水产;捕捞;渔具;捕鱼;设备;钓鱼具;
R986 医药;卫生;药学;药品;药物;皮肤性;病科;药物;
TS182 轻工业;手工业;纺织;染整;工业;针织;原料;用纱;
TS941.4 轻工业;手工业;服装;工业;原料;辅料;
S222.1 农业;科学;工程;机械;农具;耕耘;机具;犁;
G849.3 体育;球类;运动;高尔夫球;
TS959.71 轻工业;手工业;制镜;镜子;
TS941.56 轻工业;手工业;服装;工业;加工;机具;设备;
S222.23 农业;科学;工程;机械;农具;耕耘;机具;表土;耕作;机械;镇压器;
TS202.3 食品;工业;原料;添加剂;
TS958 轻工业;手工业;其他;轻工业;手工业;玩具;制造;工业;
S866 农业;科学;狩猎;方法;设备;用具;
S224.1+5 农业;工程;机械;农具;田间;管理;中耕;除草;培土;除草机;
TS251.8 食品;工业;屠宰;肉类;加工;工业;加工厂;屠宰场;
TS49 轻工业;手工业;烟草;工业;副产品;加工;利用;
TS952.7+4 轻工业;手工业;体育;器具;制造;工业;军事;野营;
TQ337+.3 化学;工业;胶乳;制品;海绵类;
S341.2 农学;农艺学;耕作学;有机;农业;一般;耕作;技术;整地;
S776.24+1 林业;森林;工程;机械;营林;作业;设备;苗圃;厩肥;捣碎;施肥;化肥;施肥机;
S224.22 农业;工程;机械;农具;田间;管理;肥料;厩肥;堆肥;装载机;施肥机;
S222.12+1 农业;工程;机械;农具;耕耘;机具;犁;机力犁;铧式犁;
S222.12+1 农业;工程;机械;农具;耕耘;机具;犁;机力犁;铧式犁;
TS914.25 轻工业;手工业;五金;制品;工业;日用;热水;器具;洗涤;
TS958.6+9 其他;轻工业;手工业;玩具;制造;工业;各种;玩具;用途;其他;
TS958.6+6 其他;轻工业;手工业;玩具;制造;工业;各种;玩具;用途;玩偶;服饰;用具;
R944.2+5 医药;卫生;药学;药剂学;剂型;固体;制剂;锭剂;
R944.4 医药;卫生;药学;药剂学;剂型;片剂;
TS943.56 轻工业;手工业;服装;工业;制鞋;机具;设备;制底;成型;
TM925.53 电工;技术;电气化;电能;应用;家用;电器;其他;设备;厨房;用电器;电炊具;电烤箱;
R618 医药;卫生;外科学;外科;手术学;绷带学;
TU532+.65 建筑;科学;材料;有机;化工;塑料;制品;门;窗;配件;零件;
TU532+.65 建筑;科学;材料;有机;化工;塑料;制品;门;窗;配件;零件;
R187+.4 医药;卫生;预防;医学;卫生学;流行病学;防疫;消毒;光线;紫外线;
O629.12 化学;有机;天然;化合物;碳水;糖;多糖;
S147.35 农业;科学;基础;肥料学;积肥;技术;调制;效益;施肥;方法;各种;条件;
TS224.2 轻工业;手工业;食品;食用;油脂;加工;制油;工艺;油料;初加工;
S776.27+2 农业;科学;林业;森林;工程;机械;营林;作业;设备;抚育;割草;割灌;机具;
[TQ353.9] 工业;技术;化学;纤维素质;化学;加工;植物纤维;水解;三废;处理;综合;利用;
R914.4 医药;卫生;药学;药物;基础;科学;化学;有机;
S222.5+5 农业;工程;机械;农具;耕耘;机具;农田;基本;建设;挖掘机;
G834.23 教育;体育;体操;运动;艺术;轻器械;球;
[Q944.3+1] 生物;科学;植物学;植物;形态学;生态;再生;作用;
S625.5+8 农业;科学;园艺;设施;保护地;栽培;温室;管理;浇水;
S341.2 农业;科学;农学;农艺学;耕作学;有机;一般;耕作;技术;整地;
S973.2+5 农业;科学;水产;渔业;捕捞;技术;网鱼法;抄网;掩网;
S972.23 农业;科学;水产;渔业;捕捞;渔具;捕鱼;设备;渔网具;抄网;掩网;
TS943.54 服装;工业;制鞋;机具;设备;压合;
J526.5 工艺;美术;中国;金属;徽章;
R608 医药;卫生;外科学;外科;诊疗;器械;用具;
TS958.1+5 玩具;制造;工业;各种;按;造型;分;交通;工具;
TS254.5+1 食品;工业;水产;加工;制品;鱼粉;鱼翅;
TS943.59 轻工业;手工业;制鞋;工业;机具;设备;其他;
S985.2 水产;水产物;加工;水产品;原料;处理;设备;甲壳类;
S663.1 农业;科学;园艺;果树;浆果类;葡萄;
TS938.7 轻工业;手工业;工艺;美术;制品;工业;民间;假面具;脸谱;
S972.3 农业;科学;水产;渔业;捕捞;渔具;捕鱼;设备;钓鱼具;
S866.1 农业;科学;畜牧;动物;医学;狩猎;蜂;方法;设备;用具;捕猎;捕捉;
TS453 工业;技术;轻工业;手工业;烟草;加工;工艺;制品;雪茄烟;
R454.1 医药;卫生;临床;医学;治疗学;物理;疗法;自然;电疗法;磁疗法;
S226.4 农业;机械;农具;农产品;初步;加工;机具;剥皮机;
S225.7+3 农业;农具;收获;机械;块根;作物;收获机;花生;油莎豆;
TU824+.2 科学;建筑;房屋;技术;设备;卫生;浴室;
TS452+.3 轻工业;手工业;工业;烟草;加工;工艺;制品;卷烟;制造;切丝;烘丝;
TS452+.2 轻工业;手工业;烟草;工业;加工;工艺;制品;卷烟;制造;抽梗;压梗;
S816.9 畜牧;普通;畜牧学;饲料;加工;处理;贮藏;保存;方法;
TS941.75 服装;工业;各种;制品;装饰;用品;分;
G885 教育;体育;其他;运动;击剑;
S222.12+1 农业;科学;工程;机械;农具;耕耘;机具;犁;机力犁;铧式犁;
S222.11 农业;科学;工程;机械;农具;耕耘;机具;犁;畜力犁;
TS943.3+2 制鞋;工业;结构;部件;配件;鞋跟;
TS453 烟草;工业;加工;工艺;制品;雪茄烟;
S817.9 农业;科学;畜牧;普通;畜牧学;畜牧业;机具;设备;
S571.2 农业;科学;农作物;饮料;作物;咖啡;
S226.1+1 农业;机械;农具;脱粒;机具;简易;
S571.3 农业;科学;农作物;饮料;作物;可可;
TG531 金属学;金属;工艺;切削;加工;机床;镗削;镗床;卧式;
