R318.6 医药、卫生;基础医学;医用一般科学;生物医学工程;仪器、设备;
TM925.54 电工技术;电气化、电能应用;家用电器及其他电器设备;厨房用电器、电炊具;微波炉;
TS938.4 轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
G893 科学、教育、体育;体育;文体活动;康乐球、台球、弹子;
TS943.3+3 轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋帮、靴腿;
TQ93 蛋白质（朊）化学加工工业;
TU998.13+2 市政工程及公用设备;消防;消防设备;灭火装置;
TS951.8+1 文教用品制造工业;绘图工具;绘图板、绘图桌;
TS958.1+3 玩具制造工业;餐具、炊具、浴具;
G832.7 体育;体操运动;竞技体操;平衡木;
S972.3 水产捕捞;渔具与捕鱼设备;钓鱼具;
R986 医药、卫生;药学;药品;各科药物;皮肤性病科药物;
TS182 轻工业、手工业;纺织工业、染整工业;针织;原料（针织用纱）;
TS941.4 轻工业、手工业;服装工业;原料与辅料;
S222.1 农业科学;农业工程;农业机械及农具;耕耘机具;犁;
G849.3 体育;球类运动;高尔夫球;
TS959.71 轻工业、手工业;制镜;镜子;
TS941.56 轻工业、手工业;服装工业;加工机具与设备;各种机具与设备;
S222.23 农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;镇压器;
TS202.3 食品工业;食品原料及添加剂;食品添加剂;
TS958 轻工业、手工业;其他轻工业、手工业;玩具制造工业;
S866 农业科学;狩猎;狩猎方法、设备及用具;
S224.1+5 农业工程;农业机械及农具;田间管理机械;中耕除草、培土机械;除草机;
TS251.8 食品工业;屠宰及肉类加工工业;肉类食品加工厂、屠宰场;
TS49 轻工业、手工业;烟草工业;烟草工业副产品加工与利用;
TS952.7+4 轻工业、手工业;体育器具制造工业;军事体育器具;野营器具;
TQ337+.3 化学工业;橡胶工业;胶乳制品;海绵类;
S341.2 农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;
S776.24+1 林业;森林工程;林业机械;营林作业机械与设备;苗圃机械;厩肥捣碎和施肥机械、化肥施肥机;
S224.22 农业工程;农业机械及农具;田间管理机械;肥料机械;厩肥、堆肥装载机，施肥机;
S222.12+1 农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
S222.12+1 农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
TS914.25 轻工业、手工业;五金制品工业;五金制品;日用五金制品;热水器具、洗涤器具;
TS958.6+9 其他轻工业、手工业;玩具制造工业;各种玩具;按用途分;其他;
TS958.6+6 其他轻工业、手工业;玩具制造工业;各种玩具：按用途分;玩偶的服饰、用具;
R944.2+5 医药、卫生;药学;药剂学;剂型;固体制剂;锭剂;
R944.4 医药、卫生;药学;药剂学;剂型;片剂;
TS943.56 轻工业、手工业;服装工业、制鞋工业;制鞋机具与设备;制底成型设备;
TM925.53 电工技术;电气化、电能应用;家用电器及其他电器设备;厨房用电器、电炊具;电烤箱;
R618 医药、卫生;外科学;外科手术学;绷带学;
TU532+.65 建筑科学;建筑材料;有机材料、建筑化工材料;建筑塑料及其制品;建筑塑料制品;门、窗等塑料配件和零件;
TU532+.65 建筑科学;建筑材料;有机材料、建筑化工材料;建筑塑料及其制品;建筑塑料制品;门、窗等塑料配件和零件;
R187+.4 医药、卫生;预防医学、卫生学;流行病学与防疫;消毒;光线消毒、紫外线消毒;
O629.12 化学;有机化学;天然化合物;碳水化合物、糖;多糖;
S147.35 农业科学;农业基础科学;肥料学;积肥技术、调制与施肥效益;施肥方法;各种条件的施肥方法;
TS224.2 轻工业、手工业;食品工业;食用油脂加工工业;制油工艺;油料初加工;
S776.27+2 农业科学;林业;森林工程、林业机械;营林作业机械与设备;抚育机械;割草、割灌机具;
[TQ353.9] 工业技术;化学工业;纤维素质的化学加工工业;植物纤维水解工业;三废处理与综合利用;
R914.4 医药、卫生;药学;药物基础科学;药物化学;有机药物化学;
S222.5+5 农业工程;农业机械及农具;耕耘机具;农田基本建设机具;挖掘机;
G834.23 教育、体育;体育;体操运动;艺术体操;轻器械体操;球;
[Q944.3+1] 生物科学;植物学;植物形态学;植物生态形态学;植物再生作用;
S625.5+8 农业科学;园艺;设施园艺（保护地栽培）;温室;温室管理;浇水;
S341.2 农业科学;农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;
S973.2+5 农业;科学;水产;渔业;捕捞;技术;网鱼法;抄网;掩网;
S972.23 农业;科学;水产;渔业;捕捞;渔具;捕鱼;设备;渔网具;抄网;掩网;
TS943.54 服装;工业;制鞋;机具;设备;压合;
J526.5 工艺;美术;中国;金属;徽章;
R608 医药;卫生;外科学;外科;诊疗;器械;用具;
