A61M3/00 卫生学;将介质输入人体内或输到人体上的器械;医用注射器，例如灌肠器;冲洗器;
A47J39/02 家具;家庭用的物品或设备;厨房用具;有餐具加热装置的橱柜;盘碟加热装置;食品保温的装置;
A63H3/14 游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;
A63B37/00 运动;游戏;娱乐活动;体育锻炼;球类;训练器械;实芯球;弹子;
A43B23/02 鞋类;鞋类的特征;鞋类的部件;鞋帮;靴腿;增强件;其他单个鞋部件;鞋帮;靴腿;
A23J3/00 食用蛋白质加工;
A62C15/00 救生;消防;背包型灭火器;
A47B27/00 办公家具;绘图桌或台;绘图板的支架;
A47G19/00 家庭用具或餐桌用具;餐具;
A63B4/00 体育锻炼;平衡木;
A01K85/08 捕鱼;鱼类;捕鱼;人造鱼饵料;人造蝇;
A61P17/02 医学;卫生学;治疗皮肤疾病的药物;治疗伤口、溃疡、烧伤、疤痕、疙瘩等的药物;
A41B17/00 服装;内衣;婴儿内衣;内衣用特种材料的选择;
A41B17/00 服装;内衣;婴儿内衣;内衣用特种材料的选择;
A01B13/14 农业或林业的整地;专门用途的犁或类似的机具;用于耕整两层或多层土壤的;
A63B53/04 运动;体育锻炼;球类;高尔夫球棍;球棍头;
A47G1/02 家庭用的物品或设备;镜子;画框或类似物;做设备用的镜;
A41H42/00 服装;缝制衣服的工具或方法;制作衣服的多步骤生产线;
A01B29/04 一般农业机械或农具的部件、零件或附件;镇压器;表土镇压器;
A23P10/47 食品或食料;以产品为特征的食料成型或加工;使用添加剂;
A63H27/04 游戏;玩具;玩具飞机;拴住的玩具飞机;
A01M31/00 狩猎;诱捕;动物的捕捉、诱捕或惊吓;狩猎设备;
A01B39/18 农业或林业的整地;专门适用于长有作物的土地整地的其他专用机械;除草用的;
A22C18/00 屠宰;肉品处理;肉类、家禽或鱼的加工;加工肉类的车间、工厂或类似设施;
A24F13/20 烟草;吸烟者用品;吸雪茄烟或纸烟的器具;切断烟烬的用具;
A45F3/46 手携物品或旅行品;旅行或野营装备和用品;野餐用具;
A47L13/16 家庭的洗涤或清扫;清扫地板、地毯、家具、墙壁或墙壁覆盖物的用具;冲刷;抛光;布;垫;海绵;
A01B39/14 农业或林业的整地;专门适用于长有作物的土地整地的其他专用机械;专用的;作垄的;
A01C3/04 农业;林业;种植;播种;施肥;厩肥处理;施厩肥;厩肥装载机;
A01C3/04 农业;林业;种植;播种;施肥;厩肥处理;施厩肥;厩肥装载机;
A01B3/36 农业;林业;畜牧业;农业或林业的整地;装有固定式犁铧的犁;拖拉机悬挂犁;
A01B3/04 农业;林业;畜牧业;农业或林业的整地;装有固定式犁铧的犁;畜力牵引犁;
A47K7/08 家庭用的物品或设备;洗涤身体或清洁身体用的器具;臀部冲洗卫生装置或手工器具;
A63H1/00 运动;游戏;娱乐活动;玩具，如陀螺、玩偶、滚铁环、积木;陀螺;
A63H3/36 运动;游戏;娱乐活动;玩具，如陀螺、玩偶、滚铁环、积木;玩偶;零件;附属物;
A61K9/20 卫生学;医用、牙科用或梳妆用的配制品;以特殊物理形状为特征的医药配制品;丸剂、锭剂或片剂;
A61K9/20 卫生学;医用、牙科用或梳妆用的配制品;以特殊物理形状为特征的医药配制品;丸剂、锭剂或片剂;
A43D69/14 鞋类;制鞋或修鞋的机械、工具、设备或方法;钉鞋机器;把帮脚用钉或骑马钉钉在带木底的鞋上的机器;
A47J37/01 家具;家庭用的物品或设备;厨房用具;烘;烤;煎;炸;烘烤专用的容器;
A61F13/04 医学或兽医学;卫生学;绷带、敷料或吸收垫;绷带或敷料;石膏绷带;其他硬化绷带;
A47H11/02 家具;家庭用的物品或设备;门和窗的装饰品;窗帘绳索的辅助用具;操纵窗帘绳索的啮合器;
A47H3/10 家具;家庭用的物品或设备;门和窗的装饰品;供条带或绳索用的紧固、夹持或导向装置;绳索导向器;
A61L9/20 卫生学;材料或消毒的一般方法或装置;空气的消毒、灭菌或除臭;应用物理现象;辐照;紫外线辐照;
A61L33/08 卫生学;外科用品的化学方面;外科用品;大分子物质的应用;多糖;
A01C21/00 农业;林业;种植;播种;施肥;施肥方法;
A23C15/02 食品或食料;及其处理;乳制品，如黄油;黄油;黄油配制品;其制备;
A01D7/04 农业;林业;畜牧业;收获;割草;耧耙;带可调式耧齿梁的;
A62D3/35 通过在物质中产生化学变化使有害化学物质无害或降低危害的方法;通过与化学试剂反应;通过水解;
A61K31/00 医学或兽医学;卫生学;医用、牙科用或梳妆用的配制品;含有机有效成分的医药配制品;
A01D13/00 农业;林业;畜牧业;收获;割草;挖掘机，例如马铃薯挖掘犁;
A63B41/00 运动;体育锻炼、体操用的器械;球类;训练器械;可充气的空心球;
A01H7/00 农业;林业;通过组织培养技术的植物再生;裸子作物，例如针叶树;
A01C23/04 农业;林业;施肥;专门适用于液体厩肥或其他液体肥料;施用液肥的浇水系统;
A01B47/00 农业;林业;农业或林业的整地;利用工作部件和土壤之间电压差的整地;
A01K77/00 农业;畜牧业;狩猎;诱捕;捕鱼;捕鱼;捕鱼用抄网;捕鱼用捞网;
A01K77/00 农业;畜牧业;狩猎;诱捕;捕鱼;捕鱼;捕鱼用抄网;捕鱼用捞网;
A43D79/00 鞋类;制鞋或修鞋的机械、工具、设备;压跟和上钉连合机;
A44C3/00 珠宝;其他人身装饰品;勋章;徽章;
A61B17/00 医学;卫生学;诊断;外科;外科器械、装置或方法;
A63H19/00 游戏;娱乐活动;玩具;交通玩具;模型铁路;
A23L17/10 食品;它们的制备或处理;水产食物制品;鱼肉或鱼粉;
A43D111/00 鞋类;制鞋的机械、工具、设备;有供鞋运输器的制鞋机;
A23L17/40 食品或食料;水产食物制品;它们的制备或处理;甲壳类;
A01G17/00 农业;园艺;果树、葡萄;葡萄、果树的栽培;
