TS938.4 轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
G893 科学、教育、体育;体育;文体活动;康乐球、台球、弹子;
TS943.3+3 轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋帮、靴腿;
O648.17 化学;化学物理学;胶体化学;胶体;凝胶及软胶;
TS251.3 轻工业、手工业;食品工业;屠宰及肉类加工工业;屠宰加工机械与设备;
TS252.53 轻工业、手工业;食品工业;乳品加工工业;各种乳制品;干酪;
TQ93 蛋白质（朊）化学加工工业;
TS951.8+1 文教用品制造工业;绘图工具;绘图板、绘图桌;
G832.7 体育;体操运动;竞技体操;平衡木;
R986 医药、卫生;药学;药品;各科药物;皮肤性病科药物;
S222.1 农业科学;农业工程;农业机械及农具;耕耘机具;犁;
G849.3 体育;球类运动;高尔夫球;
TS959.71 轻工业、手工业;制镜;镜子;
S222.23 农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;镇压器;
S866 农业科学;狩猎;狩猎方法、设备及用具;
S224.1+5 农业工程;农业机械及农具;田间管理机械;中耕除草、培土机械;除草机;
TS49 轻工业、手工业;烟草工业;烟草工业副产品加工与利用;
TS952.7+4 轻工业、手工业;体育器具制造工业;军事体育器具;野营器具;
TQ337+.3 化学工业;橡胶工业;胶乳制品;海绵类;
S341.2 农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;
S222.12+1 农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
S222.12+1 农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
R944.2+5 医药、卫生;药学;药剂学;剂型;固体制剂;锭剂;
TU532+.65 建筑科学;建筑材料;有机材料、建筑化工材料;建筑塑料及其制品;建筑塑料制品;门、窗等塑料配件和零件;
O629.12 化学;有机化学;天然化合物;碳水化合物、糖;多糖;
S147.35 农业科学;农业基础科学;肥料学;积肥技术、调制与施肥效益;施肥方法;各种条件的施肥方法;
TS251.8 食品工业;屠宰及肉类加工工业;肉类食品加工厂、屠宰场;
S776.27+2 农业科学;林业;森林工程、林业机械;营林作业机械与设备;抚育机械;割草、割灌机具;
S222.5+5 农业工程;农业机械及农具;耕耘机具;农田基本建设机具;挖掘机;
G834.23 教育、体育;体育;体操运动;艺术体操;轻器械体操;球;
S625.5+8 农业科学;园艺;设施园艺（保护地栽培）;温室;温室管理;浇水;
