A63H3/14 游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;
A43B23/02 鞋类;鞋类的特征;鞋类的部件;鞋帮;靴腿;增强件;其他单个鞋部件;鞋帮;靴腿;
A62C5/033 救生;消防;消防;使用前直接制造灭火材料;凝胶;
A01D59/02 农业;林业;畜牧业;狩猎;收获;割草;捆扎收获或割下产品的设备;打捆机;
A61P25/06 医学;卫生学;化合物或药物制剂的特定治疗活性;治疗神经系统疾病的药物;抗偏头痛药;
A22B3/10 屠宰;肉品处理;家禽或鱼的加工;屠宰;屠宰或击昏;屠宰工具;屠宰刀;
A23C19/097 食品或食料;乳制品，如干酪;奶或干酪的代用品;干酪;干酪配制品;
A23J3/00 食用蛋白质加工;
A62C15/00 救生;消防;背包型灭火器;
A47B27/00 办公家具;绘图桌或台;绘图板的支架;
A47G19/00 家庭用具或餐桌用具;餐具;
A63B4/00 体育锻炼;平衡木;
A61P17/02 医学;卫生学;治疗皮肤疾病的药物;治疗伤口、溃疡、烧伤、疤痕、疙瘩等的药物;
A01B13/14 农业或林业的整地;专门用途的犁或类似的机具;用于耕整两层或多层土壤的;
A63B53/04 运动;体育锻炼;球类;高尔夫球棍;球棍头;
A47G1/02 家庭用的物品或设备;镜子;画框或类似物;做设备用的镜;
A01B29/04 一般农业机械或农具的部件、零件或附件;镇压器;表土镇压器;
A23P10/47 食品或食料;以产品为特征的食料成型或加工;使用添加剂;
A01M31/00 狩猎;诱捕;动物的捕捉、诱捕或惊吓;狩猎设备;
A01B39/18 农业或林业的整地;专门适用于长有作物的土地整地的其他专用机械;除草用的;
A45F3/46 手携物品或旅行品;旅行或野营装备和用品;野餐用具;
A47L13/16 家庭的洗涤或清扫;清扫地板、地毯、家具、墙壁或墙壁覆盖物的用具;冲刷;抛光;布;垫;海绵;
A01B3/36 农业;林业;畜牧业;农业或林业的整地;装有固定式犁铧的犁;拖拉机悬挂犁;
A01B3/04 农业;林业;畜牧业;农业或林业的整地;装有固定式犁铧的犁;畜力牵引犁;
A63H3/36 运动;游戏;娱乐活动;玩具，如陀螺、玩偶、滚铁环、积木;玩偶;零件;附属物;
A61K9/20 卫生学;医用、牙科用或梳妆用的配制品;以特殊物理形状为特征的医药配制品;丸剂、锭剂或片剂;
A47J37/01 家具;家庭用的物品或设备;厨房用具;烘;烤;煎;炸;烘烤专用的容器;
A61F13/04 医学;卫生学;绷带;绷带;石膏绷带;其他硬化绷带;
A61L9/20 卫生学;材料或消毒的一般方法或装置;空气的消毒、灭菌或除臭;应用物理现象;辐照;紫外线辐照;
A61L33/08 卫生学;外科用品的化学方面;外科用品;大分子物质的应用;多糖;
A01C21/00 农业;林业;种植;播种;施肥;施肥方法;
A01D7/04 农业;林业;畜牧业;收获;割草;耧耙;带可调式耧齿梁的;
A62D3/35 通过在物质中产生化学变化使有害化学物质无害或降低危害的方法;通过与化学试剂反应;通过水解;
A61K31/00 医学或兽医学;卫生学;医用、牙科用或梳妆用的配制品;含有机有效成分的医药配制品;
A01D13/00 农业;林业;畜牧业;收获;割草;挖掘机，例如马铃薯挖掘犁;
A63B41/00 运动;体育锻炼、体操用的器械;球类;训练器械;可充气的空心球;
A01H7/00 农业;林业;通过组织培养技术的植物再生;裸子作物，例如针叶树;
A01C23/04 农业;林业;施肥;专门适用于液体厩肥或其他液体肥料;施用液肥的浇水系统;
A01B47/00 农业;林业;农业或林业的整地;利用工作部件和土壤之间电压差的整地;
A43D27/02 鞋类;制鞋或修鞋的机械、工具、设备或方法;固定在鞋底部的鞋底或鞋跟;
A43D27/02 鞋类;制鞋或修鞋的机械、工具、设备或方法;固定在鞋底部的鞋底或鞋跟;
A63B49/00 运动;体育锻炼用的器械;球类;训练器械;穿弦式的球拍，例如用于网球的;
A01K3/00 农业;畜牧业;狩猎;畜牧业;放牧设备;
A01P13/00 农业;林业;化学化合物或制剂的杀生;除草剂;杀藻剂;
A01K77/00 农业;畜牧业;狩猎;诱捕;捕鱼;捕鱼;捕鱼用抄网;捕鱼用捞网;
A43D79/00 鞋类;制鞋或修鞋的机械、工具、设备;压跟和上钉连合机;
A44C3/00 珠宝;其他人身装饰品;勋章;徽章;
A61B17/00 医学;卫生学;诊断;外科;外科器械、装置或方法;
A22B7/00 屠宰;肉品处理;家禽或鱼的加工;屠宰;屠宰厂设备;
A22B7/00 屠宰;肉品处理;家禽或鱼的加工;屠宰;屠宰厂设备;
A61N1/00 医学;卫生学;电疗;磁疗;放射疗;超声波疗;电疗法;其所用的线路;
A01D91/00 农业;收获;割草;农产品的收获方法;
A41G3/00 服装;人造花;假发;羽饰;假发;
A41D11/00 服装;外衣;防护服;衣饰配件;儿童服装;
A01C17/00 农业;林业;种植;施肥;带离心轮的施肥机;
A01C17/00 农业;林业;种植;施肥;带离心轮的施肥机;
A01C17/00 农业;林业;种植;施肥;带离心轮的施肥机;
A01C17/00 农业;林业;种植;播种;施肥;带离心轮的播种机;
A23L17/10 食品;它们的制备或处理;水产食物制品;鱼肉或鱼粉;
A43D111/00 鞋类;制鞋的机械、工具、设备;有供鞋运输器的制鞋机;
A23L17/40 食品或食料;水产食物制品;它们的制备或处理;甲壳类;
A01G17/00 农业;园艺;果树、葡萄;葡萄、果树的栽培;
A63B9/00 运动;体育锻炼、体操;训练器械;爬竿、爬架或爬梯;
A01H6/06 新植物或获得新植物的方法;特征在于其植物学分类的被子植物;伞形花科;
A01H6/10 新植物或获得新植物的方法;特征在于其植物学分类的被子植物;天南星科;
A01H6/08 新植物或获得新植物的方法;特征在于其植物学分类的被子植物;夹竹桃科;
A01H6/40 新植物或获得新植物的方法;特征在于其植物学分类的被子植物;龙胆科;
A01H6/46 新植物或获得新植物的方法;特征在于其植物学分类的被子植物;禾本科;
A41G7/00 服装;人造花;假发;面具;面具或掩藏整身的蒙面具;假面具;
A01K57/00 农业;林业;畜牧业;狩猎;诱捕;提供、阻止或捕捉蜂群的设备;雄蜂捕捉装置;
A24D1/00 烟草;雪茄烟;纸烟;吸烟者用品;雪茄烟或纸烟的烟嘴;雪茄烟;纸烟;
A61N2/00 医学或兽医学;卫生学;电疗;磁疗;放射疗;超声波疗;磁疗法;
A63B60/00 运动;体育锻炼;球类;高尔夫球杆,高尔夫球球棒;
A01D75/20 农业;畜牧业;狩猎;收获;割草;收割机或割草机的附件;保护人或牲畜的装置;
A01D75/08 农业;林业;收获;割草;收割机或割草机的附件;固定在收割机或割草机上的刃磨设备;
A01K61/10 捕鱼;鱼类;饲养或养殖其他类不包含的动物;鱼类等的养殖;鱼的;
A01D37/00 农业;林业;畜牧业;狩猎;收获;割草;割捆机;
A01B29/00 农业;林业;农业或林业的整地;一般农业机械或农具的部件、零件或附件;镇压器;
A47J17/14 厨房用具;家用剥皮、取筋或削皮的用具或机械;剥皮机械;
A01D29/00 农业;林业;畜牧业;收获;割草;花生收获机;
A47K3/00 家庭用的物品或设备;未列入其他类目的卫生设备;盥洗室辅助用具;浴缸;淋浴器;
A24B5/16 烟草;纸烟;吸烟或嚼烟的制造或制备;烟草;烟叶除梗;弄弯、切丝、烘丝;
A24B5/02 烟草;吸烟或嚼烟的制造或制备;烟草;烟叶除梗;抽梗;通过拔出烟梗;
A23K30/00 其他类不包含的食品或食料;专门适用于生产动物饲料原料的保存方法;
A61H23/00 理疗装置;按摩;叩打或振动按摩;吸引、振动按摩;振动膜按摩;
A63G1/00 游戏;供公共娱乐用的类似装置;旋转游艺机;
A43B17/00 鞋类;鞋类的特征;鞋类的部件;插入的内底，如鞋垫或嵌体;
A61Q13/00 化妆品或类似梳妆用配制品的特定用途;香水制剂的配方或添加剂;
A41D27/08 服装;衣饰配件;衣服的零件或其制作;修饰品;装饰物;
