TS938.4 轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
G893 科学、教育、体育;体育;文体活动;康乐球、台球、弹子;
TS943.3+3 轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋帮、靴腿;
O648.17 化学;化学物理学;胶体化学;胶体;凝胶及软胶;
S817.11+5 农业科学;畜牧、狩猎;畜牧业的机具及设备;干草及青贮饲料收获机;干草捆草机、压捆机;
R747.2 医药、卫生;神经病学与精神病学;神经病学;植物性神经系疾病;偏头痛;
TS251.3 轻工业、手工业;食品工业;屠宰及肉类加工工业;屠宰加工机械与设备;
TS252.53 轻工业、手工业;食品工业;乳品加工工业;各种乳制品;干酪;
TQ93 蛋白质（朊）化学加工工业;
TU998.13+2 市政工程及公用设备;消防;消防设备;灭火装置;
TS951.8+1 文教用品制造工业;绘图工具;绘图板、绘图桌;
TS958.1+3 玩具制造工业;餐具、炊具、浴具;
G832.7 体育;体操运动;竞技体操;平衡木;
R986 医药、卫生;药学;药品;各科药物;皮肤性病科药物;
S222.1 农业科学;农业工程;农业机械及农具;耕耘机具;犁;
G849.3 体育;球类运动;高尔夫球;
TS959.71 轻工业、手工业;制镜;镜子;
S222.23 农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;镇压器;
TS202.3 食品工业;食品原料及添加剂;食品添加剂;
S866 农业科学;狩猎;狩猎方法、设备及用具;
S224.1+5 农业工程;农业机械及农具;田间管理机械;中耕除草、培土机械;除草机;
TS49 轻工业、手工业;烟草工业;烟草工业副产品加工与利用;
TS952.7+4 轻工业、手工业;体育器具制造工业;军事体育器具;野营器具;
TQ337+.3 化学工业;橡胶工业;胶乳制品;海绵类;
S341.2 农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;
S222.12+1 农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
S222.12+1 农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
TS958.6+6 其他轻工业、手工业;玩具制造工业;各种玩具：按用途分;玩偶的服饰、用具;
R944.2+5 医药、卫生;药学;药剂学;剂型;固体制剂;锭剂;
R944.4 医药、卫生;药学;药剂学;剂型;片剂;
TM925.53 电气化、电能应用;家用电器及其他电器设备;厨房用电器、电炊具;电烤箱;
R618 医药、卫生;外科学;外科手术学;绷带学;
