游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
运动;游戏;娱乐活动;体育锻炼;球类;训练器械;实芯球;弹子;	科学、教育、体育;体育;文体活动;康乐球、台球、弹子;	地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;
农业;林业;畜牧业;狩猎;收获;割草;捆扎收获或割下产品的设备;打捆机;	农业科学;畜牧、狩猎;畜牧业的机具及设备;干草及青贮饲料收获机;干草捆草机、压捆机;	无线电电子学、电信技术;传输线和波导;波导、波导管、波导传输线;
医学;卫生学;化合物或药物制剂的特定治疗活性;治疗神经系统疾病的药物;抗偏头痛药;	医药、卫生;神经病学与精神病学;神经病学;植物性神经系疾病;偏头痛;	电气化、电能应用;电气照明;各种用途的灯;矿灯;
食品或食料;乳制品，如干酪;奶或干酪的代用品;干酪;干酪配制品;	轻工业、手工业;食品工业;乳品加工工业;各种乳制品;干酪;	电气化、电能应用;电气照明;灯泡、灯管;白热灯泡、白炽灯;
救生;消防;背包型灭火器;	市政工程及公用设备;消防;消防设备;灭火装置;	武器工业;水中兵器;鱼雷及其发射装置;鱼雷发射装置;
办公家具;绘图桌或台;绘图板的支架;	文教用品制造工业;绘图工具;绘图板、绘图桌;	力学;流体力学;普通流体力学;流体动力学;
家庭用具或餐桌用具;餐具;	玩具制造工业;餐具、炊具、浴具;	农业工程;农业机械及农具;收获机械;分段收获机;割捆机;
体育锻炼;平衡木;	体育;体操运动;竞技体操;平衡木;	武器工业;爆破器材、火炸药;爆破器材;扫雷器材;
农业或林业的整地;专门用途的犁或类似的机具;用于耕整两层或多层土壤的;	农业科学;农业工程;农业机械及农具;耕耘机具;犁;	电工技术;电气化、电能应用;电气照明;灯泡、灯管;气体放电灯;
运动;体育锻炼;球类;高尔夫球棍;球棍头;	体育;球类运动;高尔夫球;	汽车工程;汽车用燃料、润滑料;液化可燃气燃料;液化石油气;
家庭用的物品或设备;镜子;画框或类似物;做设备用的镜;	轻工业、手工业;制镜;镜子;	电工技术;电器;电阻器、电位器;固定电阻器;
食品或食料;以产品为特征的食料成型或加工;使用添加剂;	食品工业;食品原料及添加剂;食品添加剂;	无线电电子学、电信技术;电视;电视信号的传输;电视信号的红外线传输系统;
狩猎;诱捕;动物的捕捉、诱捕或惊吓;狩猎设备;	农业科学;狩猎;狩猎方法、设备及用具;	水利工程;水利工程基础科学;水力学;水工模型;水工模型试验;正态模型;
农业或林业的整地;专门适用于长有作物的土地整地的其他专用机械;除草用的;	农业工程;农业机械及农具;田间管理机械;中耕除草、培土机械;除草机;	工业技术;化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚烯烃类及塑料;
烟草;吸烟者用品;吸雪茄烟或纸烟的器具;切断烟烬的用具;	轻工业、手工业;烟草工业;烟草工业副产品加工与利用;	冶金工业;炼铁;高炉操作;开炉、配料;开炉、装料;
手携物品或旅行品;旅行或野营装备和用品;野餐用具;	轻工业、手工业;体育器具制造工业;军事体育器具;野营器具;	自动化技术;计算技术、计算机技术;电子数字计算机;外部设备;外存储器;
家庭的洗涤或清扫;清扫地板、地毯、家具、墙壁或墙壁覆盖物的用具;冲刷;抛光;布;垫;海绵;	化学工业;橡胶工业;胶乳制品;海绵类;	农业科学;农业基础科学;肥料学;施肥机具;
农业或林业的整地;专门适用于长有作物的土地整地的其他专用机械;专用的;作垄的;	农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;	医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;
农业;林业;畜牧业;农业或林业的整地;装有固定式犁铧的犁;拖拉机悬挂犁;	农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;	化学工业;磁性记录材料工业;原材料及辅助物料;载体;
农业;林业;畜牧业;农业或林业的整地;装有固定式犁铧的犁;畜力牵引犁;	农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;	工业技术;武器工业;水中兵器;水雷;探雷、扫雷设备;
运动;游戏;娱乐活动;玩具，如陀螺、玩偶、滚铁环、积木;玩偶;零件;附属物;	其他轻工业、手工业;玩具制造工业;各种玩具：按用途分;玩偶的服饰、用具;	铸造;铸造机械设备;熔炼设备;反射炉;
卫生学;医用、牙科用或梳妆用的配制品;以特殊物理形状为特征的医药配制品;丸剂、锭剂或片剂;	医药、卫生;药学;药剂学;剂型;固体制剂;锭剂;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;燃烧装置;
卫生学;医用、牙科用或梳妆用的配制品;以特殊物理形状为特征的医药配制品;丸剂、锭剂或片剂;	医药、卫生;药学;药剂学;剂型;片剂;	农业科学;农学（农艺学）;农产品收获;收获;
家具;家庭用的物品或设备;厨房用具;烘;烤;煎;炸;烘烤专用的容器;	电气化、电能应用;家用电器及其他电器设备;厨房用电器、电炊具;电烤箱;	测绘学;摄影测量学与测绘遥感;非地形摄影测量;近影摄影测量;
医学;卫生学;绷带;绷带;石膏绷带;其他硬化绷带;	医药、卫生;外科学;外科手术学;绷带学;	工业技术;轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花方法;
家具;家庭用的物品或设备;门和窗的装饰品;窗帘绳索的辅助用具;操纵窗帘绳索的啮合器;	建筑科学;建筑材料;有机材料、建筑化工材料;建筑塑料及其制品;建筑塑料制品;门、窗等塑料配件和零件;	电工技术;电机;发电机、大型发电机组（总论）;
卫生学;材料或消毒的一般方法或装置;空气的消毒、灭菌或除臭;应用物理现象;辐照;紫外线辐照;	医药、卫生;预防医学、卫生学;流行病学与防疫;消毒;光线消毒、紫外线消毒;	汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;
屠宰;肉品处理;肉类、家禽或鱼的加工;加工肉类的车间、工厂或类似设施;	食品工业;屠宰及肉类加工工业;肉类食品加工厂、屠宰场;	铁路运输;铁路线路工程;线路构造;轨道;轨道结构、轨道设计;
农业;林业;畜牧业;收获;割草;耧耙;带可调式耧齿梁的;	农业科学;林业;森林工程、林业机械;营林作业机械与设备;抚育机械;割草、割灌机具;	建筑科学;房屋建筑设备;排水设备;下水道的通气系统;
通过在物质中产生化学变化使有害化学物质无害或降低危害的方法;通过与化学试剂反应;通过水解;	工业技术;化学工业;纤维素质的化学加工工业;植物纤维水解工业;三废处理与综合利用;	电工材料;导电材料及其制品;电气装备用电线电缆;通用电线电缆;
医学或兽医学;卫生学;医用、牙科用或梳妆用的配制品;含有机有效成分的医药配制品;	医药、卫生;药学;药物基础科学;药物化学;有机药物化学;	轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;
农业;林业;畜牧业;收获;割草;挖掘机，例如马铃薯挖掘犁;	农业工程;农业机械及农具;耕耘机具;农田基本建设机具;挖掘机;	水利工程;水利工程施工;各种工程、工种;隧洞与地下工程;钻爆法施工;衬砌;
农业;林业;通过组织培养技术的植物再生;裸子作物，例如针叶树;	生物科学;植物学;植物形态学;植物生态形态学;植物再生作用;	金属材料;有色金属、稀有金属及其合金材料;铜及铜合金;
农业;林业;施肥;专门适用于液体厩肥或其他液体肥料;施用液肥的浇水系统;	农业科学;园艺;设施园艺（保护地栽培）;温室;温室管理;浇水;	化学工业;化学纤维工业;无机纤维;玻璃纤维;
农业;林业;农业或林业的整地;利用工作部件和土壤之间电压差的整地;	农业科学;农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;	轻工业、手工业;造纸工业;机械与设备;造纸机械;长网造纸机;
农业;林业;农业或林业的整地;利用工作部件和土壤之间电压差的整地;	农业科学;林业;造林学、林木育种及造林技术;造林技术;整地;	工业技术;武器工业;火炮;加农炮;
鞋类;制鞋或修鞋的机械、工具、设备或方法;固定在鞋底部的鞋底或鞋跟;	轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋跟;	公路运输;汽车工程;电气设备及附件;照明与信号系统;停刹车信号装置;
鞋类;制鞋或修鞋的机械、工具、设备或方法;固定在鞋底部的鞋底或鞋跟;	轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚柱轴承;
医学或兽医学;卫生学;兽医用仪器、器械、工具或方法;兽医用绷带、泥敷剂、敷布;	动物医学;动物医学（兽医学）;家畜卫生及防疫;兽医卫生保健组织;兽医器材及药品管理;	纺织工业;针织;针织工艺;经编工艺;
农业;畜牧业;鱼类;装活鱼的容器，例如水族槽;专门适用于运输活鱼的容器;	农业科学;水产、渔业;水产物运输;水产生物运输;鱼类的运输及设备;活鱼;	电工技术;发电、发电厂;配电设备和电气接线;开关设备;
